,id,imdb_id,production_company
2,16368.0,tt0114496,Hawn / Sylbert Movie Company
0,8411.0,tt0114508,Metro-Goldwyn-Mayer (MGM)
0,171.0,tt0114534,Malpaso Productions
1,3864.0,tt0114534,Butcher's Run Films
2,6194.0,tt0114534,Warner Bros.
0,574.0,tt0114558,Lightstorm Entertainment
0,1080.0,tt0058450,Beta Film
1,1147.0,tt0058450,Madeleine Films
2,14680.0,tt0058450,Parc Film
0,915.0,tt0114666,Hollywood Pictures
1,1382.0,tt0114666,PolyGram Filmed Entertainment
2,10201.0,tt0114666,Interscope Communications
0,11308.0,tt0114663,Savoy Pictures
0,6849.0,tt0114702,Société Française de Production (SFP)
1,16026.0,tt0114702,FIT Productions
2,16027.0,tt0114702,Portman Productions
0,33.0,tt0114682,Universal Pictures
1,56.0,tt0114682,Amblin Entertainment
0,508.0,tt0114781,Regency Enterprises
1,6194.0,tt0114781,Warner Bros.
2,17825.0,tt0114781,Seagal/Nasso Productions
3,21480.0,tt0114781,Victor Company of Japan (JVC)
4,63906.0,tt0114781,Cutting Edge Films
0,915.0,tt0114798,Hollywood Pictures
0,306.0,tt0114887,Twentieth Century Fox Film Corporation
1,2851.0,tt0114887,Zucker Brothers Productions
0,33.0,tt0114898,Universal Pictures
1,1073.0,tt0114898,Gordon Company
2,1302.0,tt0114898,Davis Entertainment
3,6092.0,tt0114898,Licht/Mueller Film Corporation
0,6068.0,tt0114928,HBO
1,6911.0,tt0114928,A BandApart
2,11661.0,tt0114928,Rysher Entertainment
0,60.0,tt0114938,United Artists
0,4.0,tt0109340,Paramount Pictures
0,306.0,tt0112602,Twentieth Century Fox Film Corporation
0,5358.0,tt0111579,Canal+
1,6453.0,tt0111579,Studio Trite
2,6454.0,tt0111579,Caméra One
0,6367.0,tt0110882,PolyGram Audiovisuel
1,12745.0,tt0110882,British Screen Productions
0,98.0,tt0112471,Detour Film Production
1,6194.0,tt0112471,Warner Bros.
0,6365.0,tt0112508,Jack Giarraputo Productions
0,18189.0,tt0112438,Spelling Films International
0,508.0,tt0112571,Regency Enterprises
1,644.0,tt0112571,Alcor Films
2,5358.0,tt0112571,Canal+
3,10104.0,tt0112571,New Regency Pictures
4,16192.0,tt0112571,Hera Productions
0,33.0,tt0112757,Universal Pictures
1,1595.0,tt0112757,Island World
0,4867.0,tt0112643,Full Moon Entertainment
0,364.0,tt0112679,The Rank Organisation
1,1898.0,tt0112679,Bórd Scannán na hÉireann
2,4127.0,tt0112679,Lantana
3,23808.0,tt0112679,Price Entertainment
0,14.0,tt0109445,Miramax Films
1,16934.0,tt0109445,View Askew Productions
0,12.0,tt0112883,New Line Cinema
1,70.0,tt0112883,American Zoetrope
0,6194.0,tt0109635,Warner Bros.
1,11407.0,tt0109635,Baltimore Pictures
0,15709.0,tt0112899,Keystone Pictures
1,52095.0,tt0112899,Dream Man Productions Inc
0,4.0,tt0109676,Paramount Pictures
0,11308.0,tt0112854,Savoy Pictures
1,11661.0,tt0112854,Rysher Entertainment
0,8.0,tt0109579,Fine Line Features
1,181.0,tt0109579,Channel Four Films
2,826.0,tt0109579,Capitol Films
3,3823.0,tt0109579,TF1 Films Production
4,5358.0,tt0109579,Canal+
5,8277.0,tt0109579,Flach Film
6,68141.0,tt0109579,Les Films de l'Astre
0,97.0,tt0109642,Castle Rock Entertainment
1,441.0,tt0109642,Columbia Pictures Corporation
0,12.0,tt0109686,New Line Cinema
1,11061.0,tt0109686,Motion Picture Corporation of America (MPCA)
0,5528.0,tt0111797,Ang Lee Productions
1,10565.0,tt0111797,Good Machine
2,25345.0,tt0111797,Central Motion Pictures
0,14.0,tt0109759,Miramax Films
1,10166.0,tt0109759,Alliance Entertainment
2,12800.0,tt0109759,Ego Film Arts
0,11308.0,tt0109758,Savoy Pictures
0,9195.0,tt0109707,Touchstone Pictures
0,306.0,tt0113117,Twentieth Century Fox Film Corporation
1,1382.0,tt0113117,PolyGram Filmed Entertainment
2,10163.0,tt0113117,Working Title Films
3,34207.0,tt0113117,Prufrock Pictures
0,5.0,tt0113097,Columbia Pictures
1,97.0,tt0113097,Castle Rock Entertainment
0,306.0,tt0113028,Twentieth Century Fox Film Corporation
0,2.0,tt0113198,Walt Disney Pictures
0,559.0,tt0113303,TriStar Pictures
0,21.0,tt0113089,Metro-Goldwyn-Mayer
0,1429.0,tt0109771,Italian International Film
1,2359.0,tt0109771,Stéphan Films
2,37581.0,tt0109771,MG
0,14.0,tt0109906,Miramax Films
0,8.0,tt0110057,Fine Line Features
1,13042.0,tt0110057,Kartemquin Films
0,11.0,tt0110005,WingNut Films
1,14.0,tt0110005,Miramax Films
2,294.0,tt0110005,New Zealand Film Commission
3,2306.0,tt0110005,Fontana Productions
0,175.0,tt0110066,Caravan Pictures
1,915.0,tt0110066,Hollywood Pictures
0,5.0,tt0110116,Columbia Pictures
1,2630.0,tt0110116,Majestic Films International
2,4564.0,tt0110116,Icon Entertainment International
0,2.0,tt0110006,Walt Disney Pictures
1,175.0,tt0110006,Caravan Pictures
0,33.0,tt0113360,Universal Pictures
1,11393.0,tt0113360,Bregman/Baer Productions
0,4.0,tt0110099,Paramount Pictures
0,360.0,tt0110148,Geffen Pictures
0,2370.0,tt0113463,Merchant Ivory Productions
1,9195.0,tt0113463,Touchstone Pictures
0,175.0,tt0110189,Caravan Pictures
1,9195.0,tt0110189,Touchstone Pictures
0,33.0,tt0110216,Universal Pictures
1,8816.0,tt0110216,Northern Lights Entertainment
0,414.0,tt0113501,Fountainbridge Films
1,6194.0,tt0113501,Warner Bros.
2,36854.0,tt0113501,Lee Rich Productions
0,2.0,tt0113538,Walt Disney Pictures
1,4063.0,tt0113538,Trimark Pictures
0,306.0,tt0113552,Twentieth Century Fox Film Corporation
0,1.0,tt0076759,Lucasfilm
1,306.0,tt0076759,Twentieth Century Fox Film Corporation
0,5.0,tt0110367,Columbia Pictures
0,6194.0,tt0113670,Warner Bros.
0,181.0,tt0110296,Channel Four Films
1,983.0,tt0110296,Parallax Pictures
0,9209.0,tt0109731,MK2 Productions
0,84803.0,tt0103994,Aviacsa
1,84804.0,tt0103994,Cinevista
0,348.0,tt0110322,Bedford Falls Productions
1,559.0,tt0110322,TriStar Pictures
2,1656.0,tt0110322,Pangaea
0,33.0,tt0110443,Universal Pictures
0,8.0,tt0110365,Fine Line Features
1,12.0,tt0110365,New Line Cinema
2,285.0,tt0110365,Live Entertainment
0,181.0,tt0107566,Channel Four Films
1,2832.0,tt0107566,Cineville
2,3268.0,tt0107566,Home Box Office (HBO)
